einer	a . i . n ʌ
Habsburg	h a b . s ɯ . b u . l ɯ . k ɯ
Fräulein	p ɯ . l o . i l . l a . i n
Daniel	d a . n i . e l
einen	a . i . n e n
für	p w i . ʌ
Vater	p a . t ʌ
Freiherr	p ɯ . l a . i . h e . ʌ
Europa	o . i . l o . p a
Schiller	s i l . l ʌ
Tübingen	t w i . b i ŋ . ɡ e n
Hormon	h o . l ɯ . m o n
Niclas	n i . k ɯ l . l a . s ɯ
Helmut	h e l . m u . t ɯ
Hamburg	h a m . b u . l ɯ . k ɯ
Herr	h e . ʌ
Bayern	b a . i . e . l ɯ n
Hermes	h e . l ɯ . m e . s ɯ
Alexander	a l . l e ɡ . s a n . d ʌ
Henrietta	h e n . l i . e . t a
Buch	b u . h ɯ
Christine	k ɯ . l i . s ɯ . t i . n e
Schule	s j u l . l e
Spengler	s j u . p e ŋ . ɡ ɯ l . l ʌ
Reval	l e . b a l
Schüler	s w i l . l ʌ
Stadt	s j u . t a . t ɯ
Rostock	l o . s ɯ . t o . k ɯ
schon	s j o n
Fischer	p i . s j ʌ
läuten	l o . i . t e n
der	d e . ʌ
Herbst	h e . l ɯ . p ɯ . s ɯ . t ɯ
Tür	t w i . ʌ
Berggarten	b e . l ɯ . k ɯ . ɡ a . l ɯ . t e n
Matthäus	m a . t e . u . s ɯ
Guggenheim	ɡ u . ɡ e n . h a . i m
Ohr	o . ʌ
ein	a . i n
Heidegger	h a . i . d e . ɡ ʌ
Kellner	k e l . n ʌ
Richard	l i . h a . l ɯ . t ɯ
Beelitz	b e l . l i . tʃ ɯ
Frank	p ɯ . l a ŋ . k ɯ
Wilhelm	b i l . h e l . l ɯ m
Grotesk	ɡ ɯ . l o . t e . s ɯ . k ɯ
Heidelberg	h a . i . d e l . b e . l ɯ . k ɯ
Karlsruhe	k a . l ɯ l . s ɯ . l u . e
ich	i . h i
Schelle	s j e l . l e
Freundin	p ɯ . l o . i n . d i n
Augsburg	a . u . k ɯ . s ɯ . b u . l ɯ . k ɯ
Samuel	dʒ a . m u . e l
norddeutsch	n o . l ɯ . t ɯ . d o . i . tʃ i
Feuer	p o . i . ʌ
Amadeus	a . m a . d e . u . s ɯ
Meyer	m a . i . ʌ
Michael	m i . h a . e l
Steffen	s j u . t e . p e n
Schatz	s j a . tʃ ɯ
Emmy	e . m i
Kupfer	k u . p ʌ
Sachsen	dʒ a ɡ . s e n
Mischling	m i . s j u l . l i ŋ
Mensch	m e n . s j u
bist	b i . s ɯ . t ɯ
ist	i . s ɯ . t ɯ
Rasur	l a . dʒ u . ʌ
Max	m a ɡ . s ɯ
Fuggerei	p u . ɡ e . l a . i
Hefeweizen	h e . p e . b a . i . tʃ e n
