Daugava	d a u g a b a
Alberts	a l b e l ɯ tʃ ɯ
Vidzeme	b i dʒ e m e
Daugavpils	d a u g a u p i l s ɯ
Ventspils	b e n tʃ ɯ p i l s ɯ
Kurzeme	k u l ɯ dʒ e m e
Grobiņa	ɡ ɯ l o b i n j a
Rēzekne	l e dʒ e k ɯ n e
Latgale	l a t ɯ g a l l e
Jūrmala	j u l ɯ m a l l a
Latvija	l a t ɯ b i j a
Visvaldis	b i s ɯ b a l d i s ɯ
Jersika	j e l ɯ s i k a
Jēkabpils	j e k a p p i l s ɯ
Liepāja	l i e p a j a
Jelgava	j e l g a b a
Rīga	l i g a
Koknese	k o k ɯ n e s e
Valmiera	b a l m i e l a
Zemgale	dʒ e m g a l l e
